edge	TN	FP	FN	TP	p	r	type	method	change	X11	SUNIT	SIZE	NGEN	CLADE_SIZE	HEIGHT_NGEN	HEIGHT_EDGE	DEPTH_NGEN	DEPTH_EDGE	TOTAL_NGEN	CU	True	recall	precision	f1	acc	fpr	fnr	expanded	ilr	sc	cu_bin	p_bin
N113	1397	28	75	0	0.05	1	recombination_rate_change	KmeansQQS+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	28	0	0	0	0.931333333333333	0.0196491228070175	1	FALSE	TRUE	FALSE	(1,Inf]	(0,0.05]
N113	1275	0	2	223	0.15	1	recombination_rate_change	TopologyOrder+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	223	0.991111111111111	1	0.995535714285714	0.998666666666667	0	0.00888888888888889	TRUE	FALSE	FALSE	(1,Inf]	(0.05,0.15]
N113	1275	0	2	223	0.15	1	recombination_rate_change	BestTopology+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	223	0.991111111111111	1	0.995535714285714	0.998666666666667	0	0.00888888888888889	TRUE	FALSE	FALSE	(1,Inf]	(0.05,0.15]
N113	1442	28	30	0	0.02	1	recombination_rate_change	BestTopology+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	28	0	0	0	0.961333333333333	0.019047619047619	1	FALSE	FALSE	FALSE	(1,Inf]	(0,0.05]
N113	1323	27	149	1	0.1	1	recombination_rate_change	BarycentricBins(6)+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	28	0.00666666666666667	0.0357142857142857	0.0112359550561798	0.882666666666667	0.02	0.993333333333333	FALSE	FALSE	TRUE	(1,Inf]	(0.05,0.15]
N113	1350	0	2	148	0.1	1	recombination_rate_change	PresentBP+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	148	0.986666666666667	1	0.993288590604027	0.998666666666667	0	0.0133333333333333	TRUE	FALSE	FALSE	(1,Inf]	(0.05,0.15]
N113	1275	0	2	223	0.15	1	recombination_rate_change	Phlag	10x increase	2.84787201881409	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	223	0.991111111111111	1	0.995535714285714	0.998666666666667	0	0.00888888888888889	TRUE	FALSE	FALSE	(1,Inf]	(0.05,0.15]
N113	1251	24	225	0	0.15	1	recombination_rate_change	KmeansQQS+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	24	0	0	0	0.834	0.0188235294117647	1	FALSE	TRUE	FALSE	(1,Inf]	(0.05,0.15]
N113	1425	0	2	73	0.05	1	recombination_rate_change	BestTopology+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	73	0.973333333333333	1	0.986486486486487	0.998666666666667	0	0.0266666666666667	TRUE	FALSE	FALSE	(1,Inf]	(0,0.05]
N113	1346	4	150	0	0.1	1	recombination_rate_change	TopologyOrder+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	4	0	0	0	0.897333333333333	0.00296296296296296	1	FALSE	FALSE	FALSE	(1,Inf]	(0.05,0.15]
N113	1466	4	3	27	0.02	1	recombination_rate_change	KmeansQQS+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	31	0.9	0.870967741935484	0.885245901639344	0.995333333333333	0.00272108843537415	0.1	TRUE	TRUE	FALSE	(1,Inf]	(0,0.05]
N113	1470	0	30	0	0.02	1	recombination_rate_change	Phlag	10x increase	2.7812876701355	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	0	0	NA	0	0.98	0	1	FALSE	FALSE	FALSE	(1,Inf]	(0,0.05]
N113	1105	20	374	1	0.25	1	recombination_rate_change	TopologyOrder+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	21	0.00266666666666667	0.0476190476190476	0.00505050505050505	0.737333333333333	0.0177777777777778	0.997333333333333	FALSE	FALSE	FALSE	(1,Inf]	(0.15,0.25]
N113	1218	57	224	1	0.15	1	recombination_rate_change	PresentBP+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	58	0.00444444444444444	0.0172413793103448	0.00706713780918728	0.812666666666667	0.0447058823529412	0.995555555555556	FALSE	FALSE	FALSE	(1,Inf]	(0.05,0.15]
N113	1125	0	2	373	0.25	1	recombination_rate_change	BarycentricBins(6)+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	373	0.994666666666667	1	0.997326203208556	0.998666666666667	0	0.00533333333333333	TRUE	FALSE	TRUE	(1,Inf]	(0.15,0.25]
